stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022021483270001,Sveden,61.291490,16.543094,0,9021021483270000,A
9022021483270002,Sveden,61.291557,16.542312,0,9021021483270000,B
9022021483271001,Gubberg,61.285539,16.514737,0,9021021483271000,A
9022021483271002,Gubberg,61.286380,16.513488,0,9021021483271000,B
9022021483272002,Gamla Sibovägen,61.215155,16.603369,0,9021021483272000,B
9022021483273001,Herte såg,61.260733,16.415076,0,9021021483273000,A
9022021483273002,Herte såg,61.260237,16.417489,0,9021021483273000,B
9022021483274002,Templet,61.214646,16.613516,0,9021021483274000,B
9022021483276002,Valsbäcken,61.212764,16.629507,0,9021021483276000,B
9022021483277002,Lilltjära Vassbacken,61.213119,16.625628,0,9021021483277000,B
9022021483279001,Vestlens,61.212507,16.436287,0,9021021483279000,A
9022021483279002,Vestlens,61.212507,16.436361,0,9021021483279000,B
9022021483280001,Vinkällan,61.307148,16.502720,0,9021021483280000,A
9022021483280002,Vinkällan,61.307400,16.502633,0,9021021483280000,B
9022021483281001,Voxsätter,61.312213,16.445323,0,9021021483281000,A
9022021483281002,Voxsätter,61.312485,16.444900,0,9021021483281000,B
9022021483282001,Västergårds,61.319604,16.479584,0,9021021483282000,A
9022021483282002,Västergårds,61.319703,16.479586,0,9021021483282000,B
9022021483283001,Österbacken,61.311495,16.496825,0,9021021483283000,A
9022021483283002,Österbacken,61.311747,16.496551,0,9021021483283000,B
9022021483284001,Berga,61.349702,16.620804,0,9021021483284000,A
9022021483284002,Berga,61.349752,16.618544,0,9021021483284000,B
9022021483286001,Björtomta,61.350099,16.644119,0,9021021483286000,A
9022021483286002,Björtomta,61.350127,16.641111,0,9021021483286000,B
9022021483287001,Blykällarbacken,61.367119,16.639077,0,9021021483287000,A
9022021483287002,Blykällarbacken,61.367076,16.638739,0,9021021483287000,B
9022021483288001,Bodarna,61.347449,16.490665,0,9021021483288000,A
9022021483288002,Bodarna,61.347749,16.491737,0,9021021483288000,B
9022021483289001,Boives,61.347411,16.713414,0,9021021483289000,A
9022021483289002,Boives,61.347499,16.713622,0,9021021483289000,B
9022021483292001,Ehrins,61.350528,16.511570,0,9021021483292000,A
